weekday,time,ewm12_volatility,sample_count
Friday,11:15,-0.0013827940107782617,8
Friday,11:20,-0.0025695075816988392,8
Friday,11:25,-0.001187559463605665,8
Friday,11:30,-0.002171188206268433,8
Friday,11:35,-0.002750407264386921,8
Friday,11:40,-0.002121025031784769,8
Friday,11:45,-0.0017258853478521817,8
Friday,11:50,-0.0026271730945113133,8
Friday,11:55,-0.0027122804811545013,8
Friday,12:00,-0.002102097194603626,8
Friday,12:05,-0.0025879429475062477,8
Friday,12:10,-0.0014292609112092234,8
Friday,12:15,-0.0006403119284931418,8
Friday,12:20,-0.0014945619756590654,8
Friday,12:25,-0.0019800113636644755,8
Friday,12:30,-0.0034234330030545237,8
Friday,12:35,-0.0030442493859658784,8
Friday,12:40,-0.002628667755437867,8
Friday,12:45,-0.0031161669395133353,8
