weekday,time,ewm12_sigma,sample_count
Saturday,21:00,0.0005180874673101836,9
Saturday,21:30,0.000444261540077513,9
Saturday,22:00,0.0005752407128601939,9
Saturday,22:30,0.0005328911398814414,9
Saturday,23:00,0.0005052754832436916,9
Saturday,23:30,0.0003095799005098399,9
Sunday,00:00,0.0004905407589154657,9
Sunday,00:30,0.0007329526815749287,9
Sunday,01:00,0.0005259905250031646,9
Sunday,01:30,0.0005643148403013254,9
Sunday,02:00,0.000624675256468611,9
Sunday,02:30,0.0007938122991815089,9
Sunday,03:00,0.0006023764250874646,9
Sunday,03:30,0.0003786043636696625,9
Sunday,04:00,0.0005490601761950804,9
Sunday,04:30,0.0005355774280689375,9
Sunday,05:00,0.0007509584075110492,9
Sunday,05:30,0.0003978613924851802,9
Sunday,06:00,0.0005720153625304005,9
